Name,Username,Private,Role,Following,Badge,Icon,ProfileURL,UserID
コミュ障_mania,awks_mania,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2027762935121252357/pPiCtFzE.jpg,https://x.com/awks_mania,1939978553317036032
misaka sub,msk_mania,Yes,Moderator,Yes,None,https://pbs.twimg.com/profile_images/1924118418535456768/P92C7xbi.jpg,https://x.com/msk_mania,1911219504384008192
イキスギマックスa.k.a.ヒカマニ仙人_mania金先輩【公式】たぶんみんなも言わないだけでそう思,eguma_ni,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1938507227150856192/D4Gbwnzz.jpg,https://x.com/eguma_ni,1794923999010701312
เอะโต,alkhi9yatayn,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1898856210155372544/sk6jWXfu.jpg,https://x.com/alkhi9yatayn,1827953953402978304
Hikakin_Finder,Hikakin_Finder,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2005470783796338689/q0wMVYfd.jpg,https://x.com/Hikakin_Finder,1511235885391507463
十字架_mania,maebahesioru2,No,Member,No,Blue,https://pbs.twimg.com/profile_images/2034228065862397952/ZdNpoG0W.jpg,https://x.com/maebahesioru2,1910278629000712192
暁美きむら,x_inmuou,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1976829934569226241/7X3IsTUN.jpg,https://x.com/x_inmuou,1699222016547794944
カタナキン(katana_mania),katamani5555,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2031320560526077952/AVxjxGXs.jpg,https://x.com/katamani5555,1954403815400349697
やまたく,yamataku4569,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2008135463564124160/vGP55nLd.jpg,https://x.com/yamataku4569,1809209529852428288
コサック_mania ,ASowdesuka09,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2024756417631338496/xfV0TnZI.jpg,https://x.com/ASowdesuka09,1840299093245284352
無敵状態,WMDdancing,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2034252305198182400/rlhHKG6O.jpg,https://x.com/WMDdancing,1700420528925032448
ふたさん_mania,hutasun_mania,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2014286342750883840/XXBCqV6l.jpg,https://x.com/hutasun_mania,1860192228565762048
MGC（終了）,MGC_UNEI,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1962169912279072768/cnTYkhdV.jpg,https://x.com/MGC_UNEI,1823883882753875971
パズマニ,Pmania_pad,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2007752979236208640/DKCU2tp8.jpg,https://x.com/Pmania_pad,1955080587800350723
李田所,9315TAKUYA9315,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2000888137338494976/eNgAuBg7.jpg,https://x.com/9315TAKUYA9315,1602884013797961729
キンキン,tou_lie82919,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2024131593372413952/Tfw6UO8W.jpg,https://x.com/tou_lie82919,1813424655073710080
アンッキーマニア,ANKY810100081,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1955863852337520641/dAiarh7R.jpg,https://x.com/ANKY810100081,1755139442912923648
モノクマキン,MonokumakinTV,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2026415291627089920/DsvJxjiB.jpg,https://x.com/MonokumakinTV,1885676667970203648
有り金溶かしたマスカキオ,tn545451919,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1844393750858170371/lk-FULnP.jpg,https://x.com/tn545451919,1617931577442594817
抹茶餅_mania/Zespar,qq26k,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1922933086691655680/e8KJUWoc.jpg,https://x.com/qq26k,1784067059971989504
吉良吉影名言bot,Kira_Queen_Q,Yes,Member,Yes,None,https://pbs.twimg.com/profile_images/1944278359200108544/A3_ofNsy.jpg,https://x.com/Kira_Queen_Q,1699747121967296512
きらまに,lovehikamani,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2010709357642838016/SiuXrAJE.jpg,https://x.com/lovehikamani,1842899500312276992
藤本太郎 喜左衛門将時能,rukamanityoko19,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2016838715554013184/c5yC3K4w.jpg,https://x.com/rukamanityoko19,1809787369257857027
るぽめだ,pomeruda_54000,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1938243688632881153/NIAIIgd_.jpg,https://x.com/pomeruda_54000,1875461791016464384
エッチキン,ettikinfumetu,No,Member,Yes,None,https://pbs.twimg.com/profile_images/1953222009456082947/yyGBJj9V.jpg,https://x.com/ettikinfumetu,1953221343950123008
♱聖なる騎士♱,1919glmw,Yes,Member,Yes,None,https://pbs.twimg.com/profile_images/1977676552625397760/r4GCRIc0.jpg,https://x.com/1919glmw,1767468792173719552
小鳥さん,kotorisansaten,No,Moderator,Yes,None,https://pbs.twimg.com/profile_images/2031231094591467522/MrAXdjpy.jpg,https://x.com/kotorisansaten,1895029420190244869
かずまっち,8xX6cxch629y,No,Member,Yes,None,https://pbs.twimg.com/profile_images/2001272610492186624/CmCNsz1c.jpg,https://x.com/8xX6cxch629y,1934201418220802049
